state,regional_division,population,article_title,revision_id,article_quality
Alabama,East South Central,5074296.0,"Abbeville, Alabama",1171163550.0,C
Alabama,East South Central,5074296.0,"Adamsville, Alabama",1177621427.0,C
Alabama,East South Central,5074296.0,"Addison, Alabama",1168359898.0,C
Alabama,East South Central,5074296.0,"Akron, Alabama",1165909508.0,GA
Alabama,East South Central,5074296.0,"Alabaster, Alabama",1179139816.0,C
Alabama,East South Central,5074296.0,"Albertville, Alabama",1179198677.0,C
Alabama,East South Central,5074296.0,"Alexander City, Alabama",1179140073.0,GA
Alabama,East South Central,5074296.0,"Aliceville, Alabama",1167792390.0,GA
Alabama,East South Central,5074296.0,"Allgood, Alabama",1165909718.0,C
Alabama,East South Central,5074296.0,"Altoona, Alabama",1165909823.0,C
Alabama,East South Central,5074296.0,"Andalusia, Alabama",1179141586.0,C
Alabama,East South Central,5074296.0,"Anderson, Lauderdale County, Alabama",662691565.0,Stub
Alabama,East South Central,5074296.0,"Anniston, Alabama",1176049382.0,C
Alabama,East South Central,5074296.0,"Arab, Alabama",1171375371.0,C
Alabama,East South Central,5074296.0,"Ardmore, Alabama",1176903479.0,GA
Alabama,East South Central,5074296.0,"Argo, Alabama",1177623964.0,C
Alabama,East South Central,5074296.0,"Ariton, Alabama",1166014478.0,C
Alabama,East South Central,5074296.0,"Arley, Alabama",1166014498.0,C
Alabama,East South Central,5074296.0,"Ashford, Alabama",1166014593.0,C
Alabama,East South Central,5074296.0,"Ashland, Alabama",1174331705.0,C
Alabama,East South Central,5074296.0,"Ashville, Alabama",1148844011.0,C
Alabama,East South Central,5074296.0,"Athens, Alabama",1175308807.0,C
Alabama,East South Central,5074296.0,"Atmore, Alabama",1167926420.0,C
Alabama,East South Central,5074296.0,"Attalla, Alabama",1165507856.0,C
Alabama,East South Central,5074296.0,"Auburn, Alabama",1179878794.0,C
Alabama,East South Central,5074296.0,"Autaugaville, Alabama",1166014815.0,C
Alabama,East South Central,5074296.0,"Avon, Alabama",1166014861.0,Start
Alabama,East South Central,5074296.0,"Babbie, Alabama",1168820544.0,Start
Alabama,East South Central,5074296.0,"Baileyton, Alabama",1166014939.0,C
Alabama,East South Central,5074296.0,"Bakerhill, Alabama",1166014954.0,Start
Alabama,East South Central,5074296.0,"Banks, Alabama",1166014997.0,C
